Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,3974.55,наличный,Гомель,МаксБанк-DHLK-540,15-08-2011,16:39:51,успешно,нет,0.0
физ. лицо,списание средств,2491.01,безналичный,Витебск,БелАгропромбанк-DXKS-048,22-04-2017,08:18:44,недостаточно средств,да,158.94
юр. лицо,получение средств,2199.46,наличный,Гродно,БелАгропромбанк-SMSZ-713,21-04-2017,00:50:28,успешно,нет,0.0
юр. лицо,получение средств,1334.43,наличный,Брест,Приорбанк-CYLK-853,01-05-2023,20:21:29,успешно,нет,0.0
юр. лицо,списание средств,4742.25,безналичный,Могилев,МаксБанк-CSYN-610,10-08-2001,13:44:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2024.57,безналичный,Гродно,МаксБанк-MPVK-127,27-04-2019,02:06:56,успешно,нет,0.0
юр. лицо,списание средств,1940.43,безналичный,Минск,Беларусбанк-BMZF-089,20-06-2021,21:26:45,неправильный ввод пин-кода,да,119.59
физ. лицо,получение средств,3465.15,безналичный,Витебск,Беларусбанк-TSVP-261,07-02-2013,01:09:08,успешно,нет,0.0
физ. лицо,получение средств,1809.42,безналичный,Могилев,Беларусбанк-BKGG-925,01-08-2002,00:50:37,успешно,нет,0.0
физ. лицо,получение средств,3201.33,безналичный,Витебск,Белинвестбанк-ZNNW-305,28-07-2001,18:56:31,успешно,нет,0.0
юр. лицо,получение средств,1859.87,наличный,Брест,Беларусбанк-YCCC-496,15-02-2005,16:24:43,успешно,нет,0.0
физ. лицо,списание средств,1620.13,безналичный,Гродно,МаксБанк-KIYL-175,07-09-2012,20:19:24,успешно,нет,0.0
юр. лицо,получение средств,1901.37,безналичный,Могилев,БелАгропромбанк-TDWP-350,25-01-2003,00:35:10,успешно,нет,0.0
физ. лицо,списание средств,2615.4,безналичный,Гродно,Белинвестбанк-POOO-872,17-02-2015,17:57:45,успешно,да,75.72
физ. лицо,получение средств,770.65,наличный,Гродно,Беларусбанк-OMPE-756,01-02-2022,04:26:15,успешно,нет,0.0
физ. лицо,списание средств,4932.45,безналичный,Гродно,Беларусбанк-OHYS-328,15-05-2010,14:15:56,недостаточно средств,да,129.85
физ. лицо,списание средств,1444.61,безналичный,Минск,Приорбанк-NQRQ-271,08-09-2014,14:07:57,успешно,нет,0.0
физ. лицо,списание средств,2976.34,наличный,Витебск,Белинвестбанк-SAFI-239,12-11-2017,08:58:55,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4121.81,безналичный,Гродно,БелАгропромбанк-TRQV-540,28-07-2011,06:12:23,успешно,нет,0.0
физ. лицо,списание средств,4986.66,наличный,Брест,Приорбанк-ETJM-572,28-12-2022,20:43:55,недостаточно средств,да,352.8
юр. лицо,списание средств,818.49,безналичный,Гродно,Беларусбанк-CRCD-010,19-09-2008,04:08:02,успешно,нет,0.0
физ. лицо,получение средств,3276.14,безналичный,Гомель,Белинвестбанк-UMYQ-115,12-06-2003,22:56:18,успешно,нет,0.0
физ. лицо,получение средств,953.25,безналичный,Гродно,БелАгропромбанк-GGFG-221,04-02-2021,19:44:06,успешно,нет,0.0
юр. лицо,получение средств,1228.69,безналичный,Гомель,МаксБанк-BGZF-893,31-12-2009,23:39:24,успешно,нет,0.0
физ. лицо,получение средств,232.09,наличный,Гродно,Белинвестбанк-MZIY-982,06-05-2007,14:01:43,успешно,нет,0.0
юр. лицо,списание средств,1850.02,наличный,Гродно,Белинвестбанк-HHCN-486,05-05-2021,10:20:23,недостаточно средств,да,85.29
юр. лицо,списание средств,1363.43,наличный,Витебск,БелАгропромбанк-UTUK-012,21-06-2006,08:34:08,успешно,да,50.01
физ. лицо,списание средств,1934.28,наличный,Могилев,БелАгропромбанк-ZFNU-220,08-05-2008,23:37:45,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1666.06,наличный,Витебск,Белинвестбанк-KMZW-799,08-10-2004,16:25:52,успешно,нет,0.0
юр. лицо,получение средств,3162.74,безналичный,Витебск,БелАгропромбанк-ZNNL-527,15-09-2010,12:42:50,успешно,нет,0.0
физ. лицо,списание средств,1663.13,наличный,Минск,Беларусбанк-RQJF-059,03-02-2008,19:33:22,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4757.75,безналичный,Минск,БелАгропромбанк-YERQ-499,03-04-2006,04:24:42,успешно,нет,0.0
юр. лицо,получение средств,1193.25,наличный,Брест,Приорбанк-CSYH-999,19-08-2015,19:16:08,успешно,нет,0.0
юр. лицо,списание средств,3918.4,безналичный,Брест,Белинвестбанк-RXSQ-829,23-01-2024,23:46:49,недостаточно средств,нет,0.0
физ. лицо,списание средств,4954.49,наличный,Гродно,Белинвестбанк-AWBF-837,11-09-2010,14:28:47,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3822.79,безналичный,Гомель,Белинвестбанк-TPGI-859,28-10-2016,04:19:54,успешно,нет,0.0
физ. лицо,списание средств,2063.97,безналичный,Минск,БелАгропромбанк-GNRE-274,18-04-2008,21:03:42,недостаточно средств,да,171.76
физ. лицо,получение средств,2095.09,наличный,Минск,МаксБанк-BFWT-501,15-12-2007,09:06:40,успешно,нет,0.0
физ. лицо,получение средств,1718.9,наличный,Могилев,Беларусбанк-PQMC-683,28-10-2004,11:36:50,успешно,нет,0.0
физ. лицо,списание средств,2582.58,наличный,Гомель,Приорбанк-KOWV-454,29-11-2000,11:40:19,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2055.02,наличный,Брест,Беларусбанк-WUFY-105,20-10-2022,16:22:02,успешно,нет,0.0
физ. лицо,получение средств,2310.49,безналичный,Гомель,Беларусбанк-ZIUT-514,14-06-2020,00:05:37,успешно,нет,0.0
юр. лицо,списание средств,694.32,наличный,Гродно,Беларусбанк-YKFI-031,19-06-2013,08:13:07,успешно,да,58.54
юр. лицо,списание средств,2191.63,наличный,Витебск,Приорбанк-FPYC-165,05-07-2021,18:14:17,успешно,нет,0.0
физ. лицо,списание средств,2891.85,безналичный,Витебск,Белинвестбанк-VQTZ-812,06-05-2007,18:31:05,недостаточно средств,да,76.75
физ. лицо,получение средств,4963.67,безналичный,Брест,Беларусбанк-ADZV-562,25-08-2010,15:04:47,успешно,нет,0.0
физ. лицо,получение средств,3005.0,наличный,Гомель,Приорбанк-LCFG-731,03-10-2000,22:20:58,успешно,нет,0.0
юр. лицо,списание средств,4914.18,наличный,Витебск,БелАгропромбанк-VYIC-646,10-06-2016,15:57:59,успешно,да,100.31
юр. лицо,списание средств,917.19,наличный,Минск,Беларусбанк-BKHQ-640,24-12-2007,07:58:49,успешно,да,42.47
физ. лицо,получение средств,2753.23,наличный,Минск,Беларусбанк-WANN-367,05-12-2023,05:33:00,успешно,нет,0.0
физ. лицо,получение средств,3459.97,безналичный,Гродно,Беларусбанк-YZLT-471,21-01-2014,22:06:27,успешно,нет,0.0
физ. лицо,получение средств,4727.05,безналичный,Могилев,БелАгропромбанк-HSXG-968,18-10-2000,17:16:41,успешно,нет,0.0
юр. лицо,получение средств,3714.43,наличный,Гомель,Приорбанк-CCLB-292,31-07-2024,04:49:14,успешно,нет,0.0
юр. лицо,списание средств,647.76,наличный,Брест,Беларусбанк-TTUE-233,01-07-2016,09:06:46,недостаточно средств,нет,0.0
юр. лицо,получение средств,2670.6,безналичный,Гомель,Белинвестбанк-EKOM-597,15-11-2007,21:19:24,успешно,нет,0.0
физ. лицо,списание средств,2845.86,безналичный,Могилев,БелАгропромбанк-OSWR-248,12-09-2014,19:29:45,успешно,да,174.37
юр. лицо,списание средств,530.57,безналичный,Могилев,БелАгропромбанк-WLFE-540,15-04-2016,15:41:06,неправильный ввод пин-кода,да,44.95
физ. лицо,получение средств,4036.12,наличный,Брест,Приорбанк-JXLC-738,09-05-2020,07:36:27,успешно,нет,0.0
физ. лицо,списание средств,843.4,наличный,Витебск,БелАгропромбанк-KSNE-060,12-12-2020,09:59:12,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2337.13,наличный,Гомель,Беларусбанк-JNGT-977,28-08-2001,19:05:22,успешно,да,26.48
физ. лицо,получение средств,4682.53,наличный,Брест,МаксБанк-TSOB-128,27-03-2016,14:31:52,успешно,нет,0.0
юр. лицо,списание средств,369.67,безналичный,Брест,Беларусбанк-DEON-552,16-06-2019,22:56:35,недостаточно средств,нет,0.0
физ. лицо,списание средств,3094.68,наличный,Брест,Приорбанк-BGTI-899,22-10-2017,12:19:21,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,118.69,безналичный,Минск,МаксБанк-XEEZ-441,01-07-2006,10:49:36,успешно,да,10.27
физ. лицо,списание средств,4551.77,безналичный,Витебск,БелАгропромбанк-XHQV-991,25-11-2024,14:30:34,успешно,да,256.29
физ. лицо,получение средств,4287.0,безналичный,Брест,Белинвестбанк-KVAC-831,17-06-2003,14:29:18,успешно,нет,0.0
физ. лицо,списание средств,1504.0,наличный,Гомель,Приорбанк-JDIU-933,05-08-2022,16:46:25,успешно,да,85.16
физ. лицо,списание средств,4077.46,безналичный,Брест,БелАгропромбанк-HDOP-914,10-01-2009,02:28:03,успешно,да,272.09
физ. лицо,получение средств,1134.21,безналичный,Могилев,БелАгропромбанк-KGUL-027,16-09-2003,00:28:53,успешно,нет,0.0
физ. лицо,получение средств,1357.45,безналичный,Витебск,Приорбанк-DELN-750,08-04-2001,00:52:59,успешно,нет,0.0
физ. лицо,получение средств,3454.66,безналичный,Гомель,Приорбанк-OOEE-282,23-03-2018,22:26:10,успешно,нет,0.0
физ. лицо,списание средств,3672.98,безналичный,Гомель,Беларусбанк-SOZK-633,09-06-2014,20:52:56,успешно,нет,0.0
юр. лицо,получение средств,1167.86,безналичный,Минск,БелАгропромбанк-BVDS-427,27-01-2005,00:49:25,успешно,нет,0.0
физ. лицо,получение средств,3532.59,наличный,Могилев,Белинвестбанк-EAMB-255,30-09-2002,13:41:07,успешно,нет,0.0
физ. лицо,списание средств,3182.62,наличный,Минск,Белинвестбанк-RGAT-964,29-05-2000,20:45:50,недостаточно средств,да,63.61
физ. лицо,получение средств,1939.15,наличный,Брест,БелАгропромбанк-UPPC-451,07-09-2015,04:41:33,успешно,нет,0.0
физ. лицо,списание средств,4228.11,наличный,Гродно,Беларусбанк-CUEX-790,23-10-2022,00:32:40,неправильный ввод пин-кода,да,239.48
юр. лицо,получение средств,4542.79,наличный,Гродно,Беларусбанк-AZDU-803,01-11-2018,14:48:06,успешно,нет,0.0
физ. лицо,списание средств,833.03,наличный,Гродно,Приорбанк-BIFE-547,01-02-2017,19:42:42,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3297.97,наличный,Могилев,Белинвестбанк-ABWX-429,14-06-2008,11:21:16,недостаточно средств,нет,0.0
физ. лицо,списание средств,990.35,наличный,Гродно,МаксБанк-MRWD-498,01-02-2017,20:52:27,неправильный ввод пин-кода,да,77.88
физ. лицо,получение средств,4125.93,безналичный,Гродно,МаксБанк-HQJT-219,20-12-2015,08:57:51,успешно,нет,0.0
юр. лицо,получение средств,3602.34,безналичный,Гомель,МаксБанк-XTYH-504,19-07-2017,18:13:29,успешно,нет,0.0
физ. лицо,списание средств,2765.67,наличный,Минск,Белинвестбанк-BROK-066,05-01-2007,20:09:52,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3112.87,безналичный,Могилев,Беларусбанк-JWDI-969,07-04-2024,11:40:01,успешно,нет,0.0
физ. лицо,получение средств,2650.5,безналичный,Витебск,МаксБанк-ZMPW-623,20-09-2010,20:56:36,успешно,нет,0.0
юр. лицо,списание средств,4964.97,наличный,Витебск,Приорбанк-SORU-101,12-04-2003,10:18:52,недостаточно средств,нет,0.0
юр. лицо,списание средств,3295.61,безналичный,Витебск,МаксБанк-XTZL-805,16-01-2010,09:45:04,недостаточно средств,да,110.09
физ. лицо,получение средств,3654.48,безналичный,Брест,Приорбанк-LLOQ-848,06-08-2022,13:04:56,успешно,нет,0.0
физ. лицо,списание средств,737.97,безналичный,Витебск,МаксБанк-IZXP-773,16-11-2022,19:28:14,недостаточно средств,да,10.81
юр. лицо,получение средств,651.54,безналичный,Гомель,МаксБанк-GSBL-241,20-04-2006,01:19:32,успешно,нет,0.0
физ. лицо,списание средств,4882.42,безналичный,Гродно,Приорбанк-DNDS-984,17-01-2006,10:08:05,недостаточно средств,нет,0.0
физ. лицо,получение средств,2553.96,наличный,Брест,Беларусбанк-PAOG-064,19-02-2015,02:44:07,успешно,нет,0.0
юр. лицо,получение средств,114.44,безналичный,Гродно,МаксБанк-USYH-965,26-12-2017,22:36:13,успешно,нет,0.0
физ. лицо,получение средств,3903.43,наличный,Брест,Приорбанк-LVKD-347,29-05-2024,11:26:19,успешно,нет,0.0
физ. лицо,списание средств,4635.1,наличный,Витебск,Белинвестбанк-XBFT-885,20-08-2008,15:01:41,недостаточно средств,нет,0.0
физ. лицо,получение средств,791.18,безналичный,Витебск,Белинвестбанк-LJOQ-901,03-05-2005,03:41:54,успешно,нет,0.0
юр. лицо,получение средств,3873.22,безналичный,Могилев,МаксБанк-MYBB-311,07-07-2020,14:04:00,успешно,нет,0.0
физ. лицо,списание средств,1547.62,безналичный,Витебск,Приорбанк-YROY-947,05-08-2022,17:12:22,успешно,да,85.47
юр. лицо,получение средств,2656.87,наличный,Минск,Беларусбанк-PBPC-024,01-07-2020,18:40:37,успешно,нет,0.0
физ. лицо,получение средств,2583.77,наличный,Могилев,Приорбанк-UKTS-337,10-05-2008,18:28:22,успешно,нет,0.0
юр. лицо,списание средств,3421.84,наличный,Могилев,МаксБанк-VFCX-776,19-02-2003,16:51:51,недостаточно средств,нет,0.0
юр. лицо,получение средств,2164.9,наличный,Гродно,МаксБанк-UKGH-903,14-04-2018,16:26:21,успешно,нет,0.0
юр. лицо,получение средств,3975.07,безналичный,Минск,МаксБанк-TQNQ-162,17-06-2004,14:00:20,успешно,нет,0.0
физ. лицо,списание средств,3295.38,наличный,Гомель,Беларусбанк-QAEN-296,14-09-2011,06:49:23,неправильный ввод пин-кода,да,190.73
юр. лицо,получение средств,1329.11,наличный,Гомель,Беларусбанк-XZCE-219,14-04-2022,20:14:14,успешно,нет,0.0
юр. лицо,получение средств,4040.87,безналичный,Гомель,БелАгропромбанк-FLEI-692,01-12-2012,03:12:02,успешно,нет,0.0
юр. лицо,списание средств,1818.42,наличный,Гродно,Беларусбанк-KISO-771,01-08-2002,21:28:17,успешно,да,77.28
юр. лицо,получение средств,4988.95,наличный,Брест,МаксБанк-EDJY-221,15-11-2002,05:07:44,успешно,нет,0.0
физ. лицо,списание средств,4832.79,безналичный,Гродно,МаксБанк-ZVAC-367,26-04-2011,06:26:09,успешно,нет,0.0
физ. лицо,получение средств,1310.67,наличный,Могилев,Беларусбанк-MIZD-564,26-12-2007,00:22:45,успешно,нет,0.0
физ. лицо,списание средств,1869.19,наличный,Гомель,Приорбанк-WMJQ-119,06-08-2018,14:42:26,неправильный ввод пин-кода,да,68.81
физ. лицо,получение средств,483.98,безналичный,Минск,Приорбанк-OFMY-597,28-07-2013,07:19:40,успешно,нет,0.0
юр. лицо,списание средств,3882.34,наличный,Брест,БелАгропромбанк-CHYO-949,04-05-2010,17:12:20,неправильный ввод пин-кода,да,132.12
физ. лицо,списание средств,1390.86,безналичный,Гродно,БелАгропромбанк-NTPD-777,11-02-2021,01:25:13,успешно,нет,0.0
физ. лицо,получение средств,1755.78,безналичный,Гомель,Белинвестбанк-TCJX-278,18-02-2004,21:14:22,успешно,нет,0.0
юр. лицо,получение средств,1237.75,безналичный,Могилев,Приорбанк-UFZU-380,24-05-2001,22:12:46,успешно,нет,0.0
юр. лицо,списание средств,4427.65,безналичный,Брест,Белинвестбанк-QHGE-994,26-01-2001,07:03:40,успешно,да,220.97
юр. лицо,получение средств,545.72,безналичный,Могилев,Беларусбанк-CYCQ-959,03-02-2015,07:22:49,успешно,нет,0.0
физ. лицо,списание средств,4027.32,наличный,Гродно,Приорбанк-BXHW-078,12-05-2013,02:52:35,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1542.64,безналичный,Гомель,МаксБанк-EHUH-379,21-09-2012,21:19:31,успешно,нет,0.0
физ. лицо,списание средств,1715.54,наличный,Минск,Беларусбанк-UNMQ-797,29-04-2002,13:33:34,неправильный ввод пин-кода,да,130.25
юр. лицо,получение средств,4225.02,наличный,Брест,БелАгропромбанк-SSBQ-115,07-05-2000,06:01:58,успешно,нет,0.0
физ. лицо,списание средств,475.17,наличный,Гродно,МаксБанк-MKGQ-001,21-07-2024,19:52:07,недостаточно средств,да,30.8
юр. лицо,получение средств,2015.78,наличный,Брест,Белинвестбанк-CGLL-692,11-06-2005,15:06:35,успешно,нет,0.0
юр. лицо,списание средств,2268.41,безналичный,Минск,Беларусбанк-BSSE-445,15-09-2012,05:22:03,неправильный ввод пин-кода,да,98.47
физ. лицо,списание средств,2125.27,наличный,Брест,МаксБанк-NCKZ-621,26-04-2024,21:41:31,недостаточно средств,да,142.91
физ. лицо,списание средств,3427.62,безналичный,Витебск,БелАгропромбанк-VATS-257,29-01-2009,04:55:22,успешно,да,156.76
физ. лицо,получение средств,2003.38,безналичный,Могилев,БелАгропромбанк-POVT-258,12-03-2014,08:16:52,успешно,нет,0.0
юр. лицо,получение средств,2123.9,наличный,Брест,Приорбанк-PQRJ-961,30-03-2003,05:57:28,успешно,нет,0.0
физ. лицо,списание средств,2615.08,безналичный,Могилев,Белинвестбанк-WIUZ-362,06-09-2005,17:19:08,успешно,да,122.7
юр. лицо,списание средств,2007.97,наличный,Минск,Приорбанк-ZAXW-430,06-08-2022,14:19:47,неправильный ввод пин-кода,да,146.91
физ. лицо,списание средств,353.46,наличный,Могилев,Белинвестбанк-WGKN-769,22-12-2013,14:14:12,неправильный ввод пин-кода,да,6.23
физ. лицо,получение средств,4287.55,безналичный,Могилев,Белинвестбанк-ICNX-678,11-09-2018,12:55:42,успешно,нет,0.0
юр. лицо,списание средств,3112.67,безналичный,Гродно,Белинвестбанк-NNPY-329,17-09-2013,12:35:24,успешно,нет,0.0
физ. лицо,получение средств,4903.0,наличный,Могилев,МаксБанк-GXXE-323,04-02-2017,07:50:21,успешно,нет,0.0
физ. лицо,списание средств,3739.68,безналичный,Минск,МаксБанк-IQBB-949,11-01-2018,14:52:31,успешно,да,82.09
физ. лицо,списание средств,135.93,безналичный,Гродно,БелАгропромбанк-OGST-550,03-01-2007,13:44:18,недостаточно средств,да,1.96
физ. лицо,получение средств,1341.83,наличный,Минск,Белинвестбанк-GHYT-822,19-06-2011,17:33:46,успешно,нет,0.0
юр. лицо,списание средств,1220.34,наличный,Минск,БелАгропромбанк-FGGG-815,13-06-2008,09:31:04,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3444.11,наличный,Минск,Беларусбанк-JZLI-816,21-10-2013,10:09:42,успешно,да,81.19
юр. лицо,получение средств,4111.43,наличный,Брест,Приорбанк-YVBX-670,15-01-2023,02:06:44,успешно,нет,0.0
физ. лицо,списание средств,1318.31,безналичный,Гомель,Беларусбанк-IITT-669,31-05-2006,11:17:03,неправильный ввод пин-кода,да,43.9
юр. лицо,получение средств,753.27,безналичный,Брест,БелАгропромбанк-XEUA-415,10-02-2018,14:37:27,успешно,нет,0.0
юр. лицо,списание средств,3221.76,безналичный,Брест,Беларусбанк-RWWI-408,15-08-2010,07:13:54,неправильный ввод пин-кода,да,152.08
физ. лицо,получение средств,3422.95,безналичный,Минск,Беларусбанк-UIWM-944,02-03-2012,18:05:46,успешно,нет,0.0
физ. лицо,получение средств,4617.96,безналичный,Гомель,Беларусбанк-SHKS-720,24-02-2023,06:58:45,успешно,нет,0.0
юр. лицо,списание средств,3699.71,наличный,Витебск,Беларусбанк-QQPS-233,14-02-2012,07:48:04,недостаточно средств,да,361.24
физ. лицо,списание средств,3859.49,наличный,Брест,Беларусбанк-XXNA-698,10-09-2011,10:27:13,неправильный ввод пин-кода,да,180.86
физ. лицо,списание средств,3186.41,наличный,Гродно,Приорбанк-MUHW-525,17-05-2002,05:24:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1575.2,безналичный,Гродно,МаксБанк-KXYD-195,02-04-2023,05:20:41,успешно,нет,0.0
юр. лицо,получение средств,1062.77,безналичный,Минск,Белинвестбанк-QOGK-524,03-10-2004,13:57:41,успешно,нет,0.0
юр. лицо,списание средств,4016.67,безналичный,Гомель,Приорбанк-MXAO-272,04-10-2001,14:34:28,неправильный ввод пин-кода,да,276.58
юр. лицо,получение средств,3960.12,безналичный,Витебск,МаксБанк-FIZY-283,16-04-2021,04:41:15,успешно,нет,0.0
юр. лицо,списание средств,1402.55,безналичный,Гродно,Белинвестбанк-QOUO-187,28-06-2020,16:03:22,недостаточно средств,нет,0.0
физ. лицо,получение средств,368.25,безналичный,Могилев,Беларусбанк-QUIB-501,02-08-2004,20:13:44,успешно,нет,0.0
юр. лицо,получение средств,3748.83,наличный,Могилев,МаксБанк-BFAT-300,02-04-2016,13:59:39,успешно,нет,0.0
юр. лицо,списание средств,264.94,безналичный,Витебск,Беларусбанк-AOBS-373,17-07-2024,10:43:55,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1754.38,наличный,Гродно,БелАгропромбанк-AHBF-557,29-07-2024,17:57:13,успешно,нет,0.0
юр. лицо,получение средств,3893.79,безналичный,Могилев,Белинвестбанк-OYLH-760,08-08-2011,06:53:38,успешно,нет,0.0
юр. лицо,списание средств,2067.8,наличный,Гомель,Приорбанк-GVOC-255,29-08-2003,23:12:00,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,89.15,безналичный,Гродно,Белинвестбанк-HZQF-699,10-11-2006,08:44:49,успешно,нет,0.0
юр. лицо,получение средств,4474.87,наличный,Витебск,Белинвестбанк-NCKD-977,04-09-2020,07:02:33,успешно,нет,0.0
юр. лицо,получение средств,2283.26,безналичный,Гомель,БелАгропромбанк-JWOL-045,08-05-2007,02:32:00,успешно,нет,0.0
физ. лицо,списание средств,275.23,безналичный,Витебск,Беларусбанк-VHRI-298,11-07-2009,21:06:14,успешно,нет,0.0
юр. лицо,списание средств,406.05,наличный,Гродно,Белинвестбанк-ZQNE-103,08-03-2024,11:21:41,успешно,да,15.79
юр. лицо,списание средств,1334.76,наличный,Гомель,Беларусбанк-UYCO-480,06-11-2017,02:30:15,недостаточно средств,да,42.0
юр. лицо,списание средств,4234.36,наличный,Гомель,Беларусбанк-WCDH-042,02-11-2015,16:14:01,неправильный ввод пин-кода,да,56.82
юр. лицо,получение средств,2530.52,наличный,Минск,Беларусбанк-BMUX-755,28-02-2004,07:39:02,успешно,нет,0.0
физ. лицо,получение средств,1356.03,безналичный,Витебск,БелАгропромбанк-LANU-104,07-04-2015,06:57:07,успешно,нет,0.0
юр. лицо,получение средств,1632.89,безналичный,Могилев,МаксБанк-FKET-503,11-04-2002,20:55:33,успешно,нет,0.0
физ. лицо,списание средств,859.41,безналичный,Витебск,Приорбанк-DCIN-210,13-06-2015,14:50:02,недостаточно средств,да,72.39
физ. лицо,получение средств,3407.0,безналичный,Могилев,МаксБанк-BXAC-531,16-04-2003,14:28:39,успешно,нет,0.0
физ. лицо,списание средств,4977.24,наличный,Витебск,БелАгропромбанк-ZCWO-232,14-12-2004,09:04:45,неправильный ввод пин-кода,да,410.78
юр. лицо,списание средств,1674.61,безналичный,Могилев,МаксБанк-BCHY-506,30-06-2000,03:49:51,неправильный ввод пин-кода,да,26.26
физ. лицо,списание средств,1901.95,безналичный,Витебск,Белинвестбанк-HYBB-392,02-12-2011,00:48:57,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1159.85,наличный,Могилев,Приорбанк-GMYY-107,27-08-2005,11:44:12,успешно,нет,0.0
юр. лицо,получение средств,1569.04,наличный,Гродно,Беларусбанк-VPWB-558,27-05-2001,19:56:40,успешно,нет,0.0
физ. лицо,получение средств,4248.17,безналичный,Гродно,Белинвестбанк-YSRF-520,12-05-2017,13:57:20,успешно,нет,0.0
физ. лицо,получение средств,346.23,безналичный,Минск,Приорбанк-OZMB-954,23-11-2011,01:27:49,успешно,нет,0.0
физ. лицо,списание средств,2541.93,наличный,Гомель,Белинвестбанк-GEDE-454,18-01-2021,08:35:09,неправильный ввод пин-кода,да,221.79
физ. лицо,списание средств,133.37,безналичный,Гродно,БелАгропромбанк-BPPA-260,15-06-2015,22:14:40,успешно,да,2.75
физ. лицо,получение средств,4825.0,безналичный,Гродно,Приорбанк-XUFE-994,25-06-2007,20:05:36,успешно,нет,0.0
физ. лицо,получение средств,264.33,наличный,Витебск,Приорбанк-SCDM-580,21-07-2011,04:19:56,успешно,нет,0.0
физ. лицо,получение средств,808.0,наличный,Гомель,МаксБанк-VSQF-452,22-05-2000,13:58:29,успешно,нет,0.0
физ. лицо,списание средств,3407.52,наличный,Брест,МаксБанк-KGGS-968,17-08-2012,00:25:29,неправильный ввод пин-кода,да,47.95
физ. лицо,списание средств,1462.11,безналичный,Гродно,БелАгропромбанк-YZNO-002,30-09-2011,14:06:05,неправильный ввод пин-кода,да,81.53
физ. лицо,получение средств,2184.99,наличный,Минск,МаксБанк-JUCI-171,14-12-2016,14:26:42,успешно,нет,0.0
физ. лицо,списание средств,3749.79,наличный,Витебск,БелАгропромбанк-ENOC-539,07-06-2009,22:49:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2185.32,наличный,Витебск,Беларусбанк-NKCI-894,22-11-2012,14:25:49,успешно,нет,0.0
юр. лицо,списание средств,1388.95,наличный,Гродно,МаксБанк-JEWN-524,20-05-2005,23:50:52,успешно,да,84.3
юр. лицо,списание средств,4398.05,наличный,Брест,МаксБанк-JIRF-994,05-05-2002,04:13:43,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3336.98,наличный,Минск,МаксБанк-ELDH-027,07-09-2009,23:09:15,неправильный ввод пин-кода,да,250.47
физ. лицо,списание средств,2995.79,безналичный,Витебск,БелАгропромбанк-JKVP-919,13-10-2018,11:18:04,недостаточно средств,нет,0.0
юр. лицо,получение средств,888.83,безналичный,Витебск,Приорбанк-UJRB-988,17-05-2017,11:50:42,успешно,нет,0.0
юр. лицо,списание средств,2100.61,безналичный,Могилев,Белинвестбанк-ZNAA-640,06-03-2017,12:26:30,недостаточно средств,нет,0.0
физ. лицо,списание средств,4126.8,безналичный,Гродно,Приорбанк-YHWM-453,05-10-2005,13:50:45,неправильный ввод пин-кода,да,210.89
физ. лицо,получение средств,4950.31,безналичный,Гомель,Беларусбанк-KKYZ-012,23-02-2000,02:30:44,успешно,нет,0.0
физ. лицо,списание средств,4551.56,наличный,Витебск,Приорбанк-VCKQ-352,15-02-2004,03:17:42,неправильный ввод пин-кода,да,385.03
юр. лицо,получение средств,537.24,наличный,Могилев,БелАгропромбанк-XMSK-206,24-08-2019,06:28:48,успешно,нет,0.0
юр. лицо,списание средств,1049.45,безналичный,Гродно,БелАгропромбанк-KKYZ-010,27-01-2003,07:28:40,недостаточно средств,да,95.27
физ. лицо,списание средств,2249.13,безналичный,Минск,Беларусбанк-CJKU-293,28-12-2000,06:40:38,недостаточно средств,да,211.06
физ. лицо,списание средств,2858.67,безналичный,Брест,Приорбанк-RPUI-814,27-01-2011,14:05:07,успешно,да,280.14
физ. лицо,списание средств,304.17,наличный,Брест,БелАгропромбанк-ATGZ-361,09-12-2007,18:30:18,недостаточно средств,нет,0.0
юр. лицо,списание средств,515.47,наличный,Гомель,МаксБанк-DWGX-185,24-08-2004,03:36:27,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2826.06,наличный,Брест,Белинвестбанк-WTJO-757,11-02-2016,21:06:23,успешно,нет,0.0
